FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,TAPU_DURUMU,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
240000,ESKISEHIR,TEPEBASI,CUMHURIYET,65789-1543,TARLA,6000,,,,23000.0,1356.0,,0,0,0,1,0,0,0,0
562030,ELAZIG,MERKEZ,CATAL CESME,73302-152,BAHCE,1813,MUSTAKIL PARSEL,ELAZIG,310.0,0.0,,1000.0,0,0,1,0,1,0,0,1
125000,CANAKKALE,GELIBOLU,BURHANLI,117979-38,T_A,200,,,,,,,0,0,0,0,1,0,0,0
149000,MANISA,SOMA,TURGUTALP,691819-283,TARLA,2150,,,,,,,0,0,0,1,0,0,0,0
370000,ESKISEHIR,TEPEBASI,CAMLICA,112651-40,TARLA,6500,MUSTAKIL PARSEL,TEPEBASI,,11320.0,9.0,,0,1,0,0,1,0,0,1
625000,IZMIR,KARABURUN,SAIP,82043-897,I_K,500,,KARABURUN,1250.0,,,,0,0,0,1,0,0,0,0
1500000,MUGLA,BODRUM,KIZILAGAC,39380-202,I_K,1100,,,,,,,0,0,0,0,1,0,0,0
450000,IZMIR,CESME,ALTINKUM,0-36363886,M_A,226,HISSELI TAPU,CESME,2000.0,6357.0,2.0,,0,0,1,0,1,0,0,1
165000,DENIZLI,BOZKURT,TUTLUCA,113218-29,TARLA,1254,,BOZKURT,,,,,0,0,0,0,1,0,0,0
35000,BILECIK,INHISAR,CAYKOY,33870-600,BAG,5400,,,,,,,0,0,0,0,1,0,0,0
260000,BURSA,OSMANGAZI,YUNUSELI,115489-81,I_K,163,,,,,,,0,0,0,0,1,0,0,0
220000,IZMIR,TIRE,DEREBASI,107094-115,TARLA,10600,,,,,,,0,0,0,0,1,0,0,0
250000,MANISA,SEHZADELER,KARAOGLANLI,87609-1727,ZEYTINLIK,2755,MUSTAKIL PARSEL,SEHZADELER,,0.0,0.0,,0,0,1,0,1,0,1,0
1600000,IZMIR,MENEMEN,ULUS,115669-15,I_K,684,MUSTAKIL PARSEL,MENEMEN,,,,,0,0,0,1,0,0,0,0
1000000,MUGLA,DALAMAN,EGE,34925-4752,CIFTLIK,977,MUSTAKIL PARSEL,DALAMAN,,,,,0,0,1,0,1,0,1,0
960000,MUGLA,ORTACA,GUZELYURT,34925-4052,TARLA,9600,MUSTAKIL PARSEL,ORTACA,,,,,0,0,1,0,1,1,0,0
353000,BOLU,MERKEZ,PELITCIK,119367-5,TARLA,8825,MUSTAKIL PARSEL,BOLU IL OZEL IDARESI,40.0,,352.0,,0,0,1,0,1,0,0,1
8500000,IZMIR,KEMALPASA,ASAGI YENMIS,73953-604,I_S,4800,MUSTAKIL PARSEL,KEMALPASA,,,,,0,0,1,0,1,0,1,0
41500,ANKARA,CANKAYA,YAKUPABDAL,32283-4348,TARLA,200,HISSELI TAPU,CANKAYA,207.0,0.0,339.0,,0,0,1,0,1,0,1,0
460000,BURDUR,MERKEZ,SEKER EVLERI,80358-800,I_K,480,,,,14.0,662.0,,0,0,0,0,1,0,0,0
250000,DENIZLI,PAMUKKALE,FATIH,15359-10145,I_K,290,,,,,,,0,0,1,0,1,0,0,0
70000,ANTALYA,KONYAALTI,CAGLARCA,118409-25,I_K,350,MUSTAKIL PARSEL,KONYAALTI,,115.0,2.0,,0,0,1,0,1,0,1,0
80000,CANAKKALE,LAPSEKI,CATALTEPE,40118-172,TARLA,5643,MUSTAKIL PARSEL,LAPSEKI,,130.0,3.0,,0,1,0,0,1,0,1,0
460000,MUGLA,DALAMAN,EGE,34925-2863,I_K,366,MUSTAKIL PARSEL,DALAMAN,,,,,0,0,1,0,1,0,1,0
172000,EDIRNE,MERKEZ,HACIUMUR,108725-171,TARLA,13200,,,,,,,0,0,0,0,1,0,0,0
360000,MANISA,SEHZADELER,SANCAKLIBOZKOY,22228-6304,BAG,3750,MUSTAKIL PARSEL,SEHZADELER,,0.0,0.0,,0,0,1,0,1,0,0,1
5500000,MUGLA,KOYCEGIZ,EKINCIK,14899-1108,I_K,13000,MUSTAKIL PARSEL,,385.0,,,,0,0,1,0,1,0,1,0
300000,ANTALYA,AKSU,TOPALLI,119339-152,I_T,700,,,,,,,0,0,0,0,1,0,0,0
990000,MANISA,YUNUSEMRE,MURADIYE,22228-6154,BAHCE,9000,MUSTAKIL PARSEL,0,,0.0,0.0,,0,0,1,0,1,0,1,0
600000,MALATYA,YESILYURT,KUSDOGAN,110592-128,BAHCE,22000,,,,,,,0,0,0,0,1,0,0,0
1000,ANTALYA,KEPEZ,VARSAK KARSIYAKA,109276-28,K_T,499,MUSTAKIL PARSEL,KEPEZ BELEDIYESI,,843.0,3.0,,0,0,0,1,0,0,0,0
1300000,DENIZLI,BAKLAN,GURLUK,89583-348,TARLA,70790,,,,,,,0,0,0,1,0,0,0,0
40000,BALIKESIR,GOMEC,HACIHUSEYINLER,112478-172,I_K,40,,,,,,,0,0,0,1,0,0,0,0
480000,MERSIN(ICEL),SILIFKE,CANBAZLI,112447-52,TARLA,60000,MUSTAKIL PARSEL,SILIFKE,,,,,0,0,1,0,1,0,1,0
2500000,TEKIRDAG,SULEYMANPASA,GUNDOGDU - TURGUT,119298-9,I_K,2006,,SULAYMANPASA,1000.0,,,,0,0,0,0,1,0,1,0
388000,KIRSEHIR,MERKEZ,BAGBASI,4865-1202,TARLA,3886,HISSELI TAPU,KIRSEHIR,100.0,795.0,7.0,,0,0,1,0,1,0,1,0
2500000,KAHRAMANMARAS,ONIKISUBAT,KILAVUZLU,119444-17,BAG,4779,TAHSIS,,1.0,7792.0,5.0,1.0,0,0,1,0,1,0,0,1
200000,BALIKESIR,HAVRAN,TEKKE,6648-824,ZEYTINLIK,1660,MUSTAKIL PARSEL,HAVRAN,120.0,,,,0,0,1,0,1,0,1,0
1890000,ISTANBUL,SILIVRI,BALABAN,104675-359,M_A,4661,,,,,,,0,0,0,0,1,0,0,0
8000000,MERSIN(ICEL),TARSUS,TAKBAS,117052-32,I_K,23000,MUSTAKIL PARSEL,TARSUS,,,,,0,1,0,1,0,0,1,0
150000,ESKISEHIR,TEPEBASI,DANISMENT,118923-11,TARLA,6306,,,24.0,116.0,9.0,,0,0,1,0,1,0,0,0
1000000,BALIKESIR,HAVRAN,TEKKE,36478-1461,BAHCE,7300,MUSTAKIL PARSEL,,140.0,,,,0,0,1,0,1,0,0,1
130000,MANISA,SEHZADELER,YENIKOY,22228-6178,I_K,330,MUSTAKIL PARSEL,0,,0.0,0.0,,0,0,1,0,1,0,1,0
2700000,ANKARA,GOLBASI,INCEK,96629-317,BAHCE,1175,,GOLBASI,,,,,0,0,1,0,1,0,0,0
170000,MALATYA,YESILYURT,BAHCEBASI,115410-38,BAG,3200,MUSTAKIL PARSEL,,54.0,,,,0,0,0,0,1,0,0,0
2300000,ANKARA,GOLBASI,KIZILCASAR,90329-143,I_K,1100,,GOLBASI,,,,,0,0,0,0,1,0,0,0
40000,CANAKKALE,BAYRAMIC,KOYLU,1421-448,TARLA,1000,,,,,,,0,0,0,0,1,0,0,0
6750000,BALIKESIR,EDREMIT,GURE,110461-228,I_K,6250,MUSTAKIL PARSEL,EDREMIT,,,,,0,0,1,0,1,0,1,0
75000,KONYA,MERAM,KIZILOREN,57307-303,TARLA,2500,MUSTAKIL PARSEL,MERAM,30.0,218.0,15.0,,0,0,0,0,1,0,0,0
850000,ISTANBUL,SILIVRI,AKOREN,109734-93,TARLA,9000,,,,,,,0,0,0,0,1,0,0,0
1290000,KOCAELI,KARTEPE,CEPNI,8130-1200,I_K,5400,,,,,,,0,0,0,0,1,0,0,0
513000,ANTALYA,ELMALI,YENI,691790-568,BAHCE,8750,MUSTAKIL PARSEL,,,,,,0,0,1,0,1,0,1,0
6250000,ANTALYA,ELMALI,KARAMIK,99744-1032,BAHCE,108400,MUSTAKIL PARSEL,ELMALI/ANTALYA,,,,,0,0,1,0,1,0,1,0
1200000,ANTALYA,ELMALI,BOZHUYUK,691790-543,TARLA,10000,,,,,,,0,0,0,0,1,0,1,0
69000,ANKARA,GOLBASI,GOKCEHUYUK,97141-9429,BAHCE,500,HISSELI TAPU,GOLBASI,,,,,0,1,0,1,0,0,0,1
495000,CANAKKALE,MERKEZ,TEVFIKIYE,48867-877,I_K,383,,,,,,,0,0,0,0,1,0,0,0
480000,ANKARA,POLATLI,CUMHURIYET,120023-31,TARLA,80000,MUSTAKIL PARSEL,,6.0,156.0,81.0,,0,0,1,0,1,0,1,0
80000,ANKARA,GOLBASI,YURTBEYI,54806-314,BAHCE,160,HISSELI TAPU,GOLBASI,,122624.0,50.0,,0,0,1,0,1,0,0,0
