FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
2500000,KOCAELI,KARAMURSEL,YALAKDERE,113162-95,OZEL_K,50601,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARAMURSEL BELEDIYE,49,146,12,5000.0
70000,BALIKESIR,BANDIRMA,EDINCIK,45396-1284,ZEYTINLIK,1901,,,,HAYIR,BANDIRMA,,,,
66000,ANKARA,CANKAYA,YESILKENT,16177-1016,TARLA,300,BILINMIYOR,HISSELI TAPU,HAYIR,HAYIR,CANKAYA,220,,,
53000,BURDUR,AGLASUN,HISAR,112157-69,TARLA,10614,,,,HAYIR,,,,,
50000,ANKARA,CANKAYA,YAKUPABDAL,41594-1137,BAHCE,540,,,,HAYIR,,,,,
110000,ANKARA,GOLBASI,IKIZCE,6462-1423,TARLA,1000,,,,HAYIR,,,,,
450000,MUGLA,BODRUM,YENIKOY KARAOVA,8697-1415,ZEYTINLIK,7850,BILINMIYOR,MUSTAKIL PARSEL,,HAYIR,BODRUM,50,,,
37500,ANKARA,MAMAK,YUKARI IMROHOR,98033-515,I_K,300,UYGUN,HISSELI TAPU,EVET,EVET,MAMAMK BELEDIYESI,125,52050,1,
5400000,ANKARA,GOLBASI,DIKILITAS,119654-5,TARLA,91000,,,,HAYIR,,,,,
121000,HATAY,ALTINOZU,YUNUSHANI,109496-310,ZEYTINLIK,5002,UYGUN,MUSTAKIL PARSEL,,HAYIR,ALTINOZU,25000,270,77,
465000,ANKARA,ALTINDAG,KAVAKLI,43944-1605,BAHCE,1255,UYGUN,HISSELI TAPU,EVET,HAYIR,ALTINDAG,1255,116,41,
75000,BURDUR,AGLASUN,MAMAK,112157-71,TARLA,20320,,,,HAYIR,,,,,
5500000,DENIZLI,PAMUKKALE,TOPRAKLIK,73618-10050,I_T,495,UYGUN,MUSTAKIL PARSEL,EVET,EVET,PAMUKKALE,,,,
450000,KONYA,SELCUKLU,ESENLER,68737-303,I_K,432,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,SELCUKLU,,,,
265000,ANKARA,PURSAKLAR,SIRKELI YESILYURT,68297-1757,I_K,1150,UYGUN,MUSTAKIL PARSEL,,HAYIR,PURSAKLAR,,,,
220000,BALIKESIR,SUSURLUK,GOBEL,0-35950717,BAHCE,2947,,,,HAYIR,,,,,
750000,MUGLA,BODRUM,TURGUTREIS,10886-3110,TARLA,4070,,MUSTAKIL PARSEL,HAYIR,HAYIR,"MUGLA.BODRUM,",250,,,
875000,TEKIRDAG,CERKEZKOY,FATIH,0-34609973,I_K,1600,,MUSTAKIL PARSEL,EVET,HAYIR,,,,,
4000000,CANAKKALE,MERKEZ,KEPEZ (HAMIDIYE),118486-2,I_K,2057,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,KEPEZ,,,,
365000,ISTANBUL,SILIVRI,BUYUK CAVUSLU,4835-7355,TARLA,8100,,,,HAYIR,,,,,
5000000,TEKIRDAG,SULEYMANPASA,GUNDOGDU - TURGUT,43963-1419,K_T,1640,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SULEYMANPASA,,2888,3,1.0
65000,DENIZLI,CAMELI,YENI,60626-409,I_K,437,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,CAMELI,,,,
560000,BURSA,YILDIRIM,SAMANLI,9874-434,BAG,5554,,,,HAYIR,,,,,
